date;value
09.05.2016;1201
10.05.2016;2329
11.05.2016;1716
12.05.2016;10539
13.05.2016;6933
14.05.2016;3127
15.05.2016;2927
16.05.2016;2591
17.05.2016;3403
18.05.2016;5410
19.05.2016;19736
20.05.2016;17491
21.05.2016;13370
22.05.2016;13158
23.05.2016;13887
24.05.2016;15336
25.05.2016;14779
26.05.2016;18060
27.05.2016;19997
28.05.2016;19044
29.05.2016;20325
30.05.2016;16607
31.05.2016;16616
01.06.2016;13007
02.06.2016;10329
03.06.2016;10155
04.06.2016;7431
05.06.2016;16031
06.06.2016;16621
07.06.2016;18335
08.06.2016;18072
09.06.2016;18139
10.06.2016;17087
11.06.2016;16098
12.06.2016;16147
13.06.2016;17570
14.06.2016;19395
15.06.2016;18584
16.06.2016;17628
17.06.2016;21691
18.06.2016;21681
19.06.2016;19204
20.06.2016;28508
21.06.2016;26805
22.06.2016;21424
23.06.2016;19820
24.06.2016;19230
25.06.2016;21923
26.06.2016;22685
27.06.2016;24278
28.06.2016;21423
29.06.2016;27734
30.06.2016;26696
01.07.2016;28372
02.07.2016;26393
03.07.2016;27011
04.07.2016;24236
05.07.2016;23843
06.07.2016;24374
07.07.2016;28507
08.07.2016;31184
09.07.2016;27404
10.07.2016;26079
11.07.2016;20339
12.07.2016;21510
13.07.2016;20391
14.07.2016;23278
15.07.2016;22815
16.07.2016;20261
17.07.2016;20331
18.07.2016;19703
19.07.2016;15445
20.07.2016;22046
21.07.2016;27290
22.07.2016;28662
23.07.2016;25053
24.07.2016;19733
25.07.2016;25646
26.07.2016;19637
27.07.2016;23587
28.07.2016;25719
29.07.2016;21667
30.07.2016;16002
31.07.2016;16223
01.08.2016;20947
02.08.2016;20345
03.08.2016;24118
04.08.2016;24951
05.08.2016;27880
06.08.2016;20900
07.08.2016;23536
08.08.2016;24471
09.08.2016;24828
10.08.2016;31583
11.08.2016;30393
12.08.2016;29488
13.08.2016;26206
14.08.2016;29686
15.08.2016;32229
16.08.2016;34396
17.08.2016;43003
18.08.2016;35206
19.08.2016;32362
20.08.2016;37583
21.08.2016;36559
22.08.2016;36701
23.08.2016;32726
24.08.2016;29315
25.08.2016;32786
26.08.2016;35489
27.08.2016;36366
28.08.2016;33765
29.08.2016;36915
30.08.2016;39619
31.08.2016;38173
01.09.2016;40709
02.09.2016;37609
03.09.2016;30250
04.09.2016;36077
05.09.2016;35320
06.09.2016;39098
07.09.2016;43401
08.09.2016;40258
09.09.2016;44787
10.09.2016;44586
11.09.2016;39262
12.09.2016;42667
13.09.2016;49746
14.09.2016;43645
15.09.2016;38780
16.09.2016;36125
17.09.2016;31797
18.09.2016;32304
19.09.2016;36840
20.09.2016;37441
21.09.2016;38492
22.09.2016;38324
23.09.2016;44985
24.09.2016;37708
25.09.2016;39081
26.09.2016;41089
27.09.2016;41296
28.09.2016;53158
29.09.2016;70669
30.09.2016;58802
01.10.2016;49179
02.10.2016;44043
03.10.2016;32660
04.10.2016;41797
05.10.2016;39348
06.10.2016;23874
07.10.2016;25963
08.10.2016;23848
09.10.2016;23573
10.10.2016;27459
11.10.2016;27601
12.10.2016;26521
13.10.2016;24865
14.10.2016;24934
15.10.2016;20609
16.10.2016;22301
17.10.2016;26623
18.10.2016;25319
19.10.2016;29076
20.10.2016;23217
21.10.2016;22343
22.10.2016;19571
23.10.2016;20457
24.10.2016;25670
25.10.2016;27317
26.10.2016;26489
27.10.2016;27207
28.10.2016;23258
29.10.2016;22975
30.10.2016;24828
31.10.2016;26423
01.11.2016;25856
02.11.2016;26565
03.11.2016;30183
04.11.2016;28981
05.11.2016;25849
06.11.2016;25287
07.11.2016;27790
08.11.2016;26744
09.11.2016;25489
10.11.2016;117906
11.11.2016;159186
12.11.2016;33775
13.11.2016;22762
14.11.2016;24449
15.11.2016;30817
16.11.2016;33673
17.11.2016;35712
18.11.2016;50298
19.11.2016;42964
20.11.2016;47789
21.11.2016;52663
22.11.2016;51329
23.11.2016;48490
24.11.2016;46822
25.11.2016;29973
26.11.2016;25239
27.11.2016;27955
28.11.2016;31749
29.11.2016;29694
30.11.2016;27470
01.12.2016;32666
02.12.2016;36075
03.12.2016;31115
04.12.2016;23536
05.12.2016;25527
